,line1,line2
58,"Footnote: 35. Donald Trump News Conference, Doral, Florida, C-SPAN (July 27, 2016).","mightily by our press.936 Trump also said that ""there's nothing that I can think of that I'd rather do than have Russia friendly as opposed to the way they are right now,"" and in response to a question about whether he would recognize Crimea as Russian territory and consider lifting sanctions, Trump replied, ""We'll be looking at that. Yeah, we'll be looking.""37 During the press conference, Trump repeated ""I have nothing to do with Russia"" five times.38 He stated that ""the closest [he] came to Russia"" was that Russians may have purchased a [Harm to Ongoing Matter] e or condos from him.39 He said that after he held the Miss Universe pageant in Moscow in 2013 he had been interested in working with Russian companies that ""wanted to put a lot of money into developments in Russia"" but ""it never worked out.940 He explained, ""[f] rankly, I didn't want to do it for a couple of different reasons. But we had a major developer... that wanted to develop property in Moscow and other places. But we decided not to do it.941 The Trump Organization, however, had been pursuing a building project in Moscow -- the Trump Tower Moscow project-from approximately September 2015 through June 2016, and the candidate was regularly updated on developments, including possible trips by Michael Cohen to Moscow to promote the deal and by Trump himself to finalize it.42 Cohen recalled speaking with Trump after the press conference about Trump's denial of any business dealings in Russia, which Cohen regarded as untrue.43 Trump told Cohen that Trump Tower Moscow was not a deal yet and said, ""Why mention it if it is not a deal?p944 According to Cohen, at around this time, in response to Trump's disavowal of connections to Russia, campaign 36 Donald Trump News Conference, Doral, Florida, C-SPAN (July 27, 2016). Within five hours of Trump's remark, a Russian intelligence service began targeting email accounts associated with Hillary Clinton for possible hacks. See Volume 1, Section III, supra. In written answers submitted in this investigation, the President stated that he made the ""Russia, if you're listening"" statement ""in jest and sarcastically, as was apparent to any objective observer."" Written Responses of Donald J. Trump (Nov. 20, 2018), at 13 (Response to Question II, Part (d))."
59,Footnote: 49. @WikiLeaks 10/7/16 (4:32 p.m. ET) Tweet.,"Footnote: 50. Joint Statement from the Department Of [Harm to Ongoing Matter] eland Security and Office of the Director of National Intelligence on Election Security, DHS (Oct. 7, 2016)."
60,"Footnote: 221. Christie 2/13/19 302, at 3.","frustrated at times.222 Christie also told the President that he would never be able to get rid of Flynn, ""like gum on the bottom of your shoe.""223 Towards the end of the lunch, the President brought up Comey and asked if Christie was still friendly with him.224 Christie said he was.225 The President told Christie to call Comey and tell him that the President ""really like[s] him. Tell him he's part of the team.""226 At the end of the lunch, the President repeated his request that Christie reach out to Comey.227 Christie had no intention of complying with the President's request that he contact Comey.228 He thought the President's request was ""nonsensical"" and Christie did not want to put Comey in the position of having to receive such a phone call.229 Christie thought it would have been uncomfortable to pass on that message.230 At 4 p.m. that afternoon, the President met with Comey, Sessions, and other officials for a [Harm to Ongoing Matter] eland security briefing 231 At the end of the briefing, the President dismissed the other attendees and stated that he wanted to speak to Comey alone.232 Sessions and senior advisor to the President Jared Kushner remained in the Oval Office as other participants left, but the President 222 Christie 2/13/19 302, at 3-4."
61,under oath in congressional proceedings and in interviews with federal investigators subject to penalties for lying under 18 U.S.C. § 1001. Comey's recollections of the encounter have remained consistent over time.,"Third, the objective, corroborated circumstances of how the one-on-one meeting came to occur support Comey's description of the event. Comey recalled that the President cleared the room to speak with Comey alone after a [Harm to Ongoing Matter] eland security briefing in the Oval Office, that Kushner and Sessions lingered and had to be shooed out by the President, and that Priebus briefly opened the door during the meeting, prompting the President to wave him away. While the President has publicly denied those details, other Administration officials who were present have confirmed Comey's account of how he ended up in a one-on-one meeting with the President.272 And the President acknowledged to Priebus and McGahn that he in fact spoke to Comey about Flynn in their one-on-one meeting."
62,"Footnote: 309. Donaldson 11/6/17 302, at 14-15. On March 16, 2017, the White House Counsel's Office was briefed by Senator Burr on the existence of ""4-5 targets."" Donaldson 11/6/17 302, at 15. The ""targets""","were identified in notes taken by Donaldson as ""Flynn (FBI was in -- wrapping up)-DOJ looking for phone records""; ""Comey-Manafort (Ukr + Russia, not campaign)""; [Harm to Ongoing Matter] ""Carter Page ($ game)""; and ""Greek Guy"" (potentially referring to George Papadopoulos, later charged with violating 18 U.S.C. § 1001 for lying to the FBI). SC_AD_00198 (Donaldson 3/16/17 Notes). Donaldson and McGahn both said they believed these were targets of SSCI. Donaldson 11/6/17 302, at 15; McGahn 12/12/17 302, at 4. But SSCI does not formally investigate individuals as ""targets""; the notes on their face reference the FBI, the Department of Justice, and Comey, and the notes track the background materials prepared by the FBI for Comey's briefing to the Gang of 8 on March 9. See SNS-Classified-0000140-44 (3/8/17 Email, Gauhar to Page et al.); see also Donaldson 11/6/17 302, at 15 (Donaldson could not rule out that Burr had told McGahn those individuals were the FBI's targets)."
63,"The evidence does not establish that the termination of Comey was designed to cover up a conspiracy between the Trump Campaign and Russia: As described in Volume I, the evidence uncovered in the investigation did not establish that the President or those close to him were involved in the charged Russian computer-hacking or active-measure conspiracies, or that the President otherwise had an unlawful relationship with any Russian official. But the evidence does indicate that a thorough FBI investigation would uncover facts about the campaign and the President personally that the President could have understood to be crimes or that would give rise to personal and political concerns. Although the President publicly stated during and after the election that he had no connection to Russia, the Trump Organization, through Michael Cohen, 76","was pursuing the proposed Trump Tower Moscow project through June 2016 and candidate Trump was repeatedly briefed on the progress of those efforts.498 In addition, some witnesses said that Trump was aware that [Harm to Ongoing Matter] at a time when public reports stated that Russian intelligence officials were behind the hacks, and that Trump privately sought information about future WikiLeaks releases.49 More broadly, multiple witnesses described the President's preoccupation with press coverage of the Russia investigation and his persistent concern that it raised questions about the legitimacy of his election.500 Finally, the President and White House aides initially advanced a pretextual reason to the press and the public for Comey's termination. In the immediate aftermath of the firing, the President dictated a press statement suggesting that he had acted based on the DOJ recommendations, and White House press officials repeated that story. But the President had decided to fire Comey before the White House solicited those recommendations. Although the President ultimately acknowledged that he was going to fire Comey regardless of the Department of Justice's recommendations, he did so only after DOJ officials made clear to him that they would resist the White House's suggestion that they had prompted the process that led to Comey's termination. The initial reliance on a pretextual justification could support an inference that the President had concerns about providing the real reason for the firing, although the evidence does not resolve whether those concerns were personal, political, or both."
64,Footnote: 567. @realDonaldTrump 6/15/17 (7:57 a.m. ET) Tweet.,"before she was cleared & they talk about obstruction?568 The next day, June 16, 2017, the President wrote additional tweets criticizing the investigation: ""After 7 months of investigations & committee hearings about my 'collusion with the Russians,' nobody has been able to show any proof. Sad!"",569 and ""I am being investigated for firing the FBI Director by the man who told me to fire the FBI Director! Witch Hunt.""570 On Saturday, June 17, 2017, the President called McGahn and directed him to have the Special Counsel removed.571 McGahn was at [Harm to Ongoing Matter] e and the President was at Camp David. 572 In interviews with this Office, McGahn recalled that the President called him at [Harm to Ongoing Matter] e twice and on both occasions directed him to call Rosenstein and say that Mueller had conflicts that precluded him from serving as Special Counsel.573 On the first call, McGahn recalled that the President said something like, ""You gotta do this. You gotta call Rod.""374 McGahn said he told the President that he would see what he could do.375 McGahn was perturbed by the call and did not intend to act on the request.576 He and other advisors believed the asserted conflicts were ""silly"" and ""not real,"" and they had previously communicated that view to the President. McGahn also had made clear to the President that the White House Counsel's Office should not be involved in any effort to press the issue of conflicts.578 McGahn was concerned about having any role in asking the Acting Attorney General to fire the Special Counsel because he had grown up in the Reagan era and wanted to be more like Judge 568 @realDonaldTrump 6/15/17 (3:56 p.m. ET) Tweet."
65,"On June 14, 2017, when the Washington Post reported that the Special Counsel was investigating the President for obstruction of justice, the President was facing what he had wanted 602 See, e.g., Evan Perez et al., CNN exclusive: Grand jury subpoenas issued in FBI's Russia investigation, CNN (May 9, 2017); Matt Ford, Why Mueller Is Taking Over the Michael Flynn Grand Jury, The Atlantic (June 2, 2017).","to avoid: a criminal investigation into his own conduct that was the subject of widespread media attention. The evidence indicates that news of the obstruction investigation prompted the President to call McGahn and seek to have the Special Counsel removed. By mid-June, the Department of Justice had already cleared the Special Counsel's service and the President's advisors had told him that the claimed conflicts of interest were ""silly"" and did not provide a basis to remove the Special Counsel. On June 13, 2017, the Acting Attorney General testified before Congress that no good cause for removing the Special Counsel existed, and the President dictated a press statement to Sanders saying he had no intention of firing the Special Counsel. But the next day, the media reported that the President was under investigation for obstruction of justice and the Special Counsel was interviewing witnesses about events related to possible obstruction -- spurring the President to write critical tweets about the Special Counsel's investigation. The President called McGahn at [Harm to Ongoing Matter] e that night and then called him on Saturday from Camp David. The evidence accordingly indicates that news that an obstruction investigation had been opened is what led the President to call McGahn to have the Special Counsel terminated."
66,"Footnote: 610. Lewandowski 4/6/18 302, at 3; Lewandowski 6/19/17 Notes, at 3.","The President said that if Sessions delivered that statement he would be the most popular guy in the country.:611 Lewandowski told the President he understood what the President wanted Sessions to do.612 Lewandowski wanted to pass the message to Sessions in person rather than over the phone.613 He did not want to meet at the Department of Justice because he did not want a public log of his visit and did not want Sessions to have an advantage over him by meeting on what Lewandowski described as Sessions's turf.614 Lewandowski called Sessions and arranged a meeting for the following evening at Lewandowski's office, but Sessions had to cancel due to a last minute conflict.is Shortly thereafter, Lewandowski left Washington, D.C., without having had an opportunity to meet with Sessions to convey the President's message.616 Lewandowski stored the notes in a safe at his [Harm to Ongoing Matter] e, which he stated was his standard procedure with sensitive items.617 2. The President Follows Up with Lewandowski Following his June meeting with the President, Lewandowski contacted Rick Dearborn, then a senior White House official, and asked if Dearborn could pass a message to Sessions.618 Dearborn agreed without knowing what the message was, and Lewandowski later confirmed that Dearborn would meet with Sessions for dinner in late July and could deliver the message then.619 Lewandowski recalled thinking that the President had asked him to pass the message because the President knew Lewandowski could be trusted, but Lewandowski believed Dearborn would be a better messenger because he had a longstanding relationship with Sessions and because Dearborn was in the government while Lewandowski was not.620 On July 19, 2017, the President again met with Lewandowski alone in the Oval Office. 621 In the preceding days, as described in Volume II, Section II.G, infra, emails and other information about the June 9, 2016 meeting between several Russians and Donald Trump Jr., Jared Kushner, and Paul Manafort had been publicly disclosed. In the July 19 meeting with Lewandowski, the 611 Lewandowski 4/6/18 302, at 3; Lewandowski 6/19/17 Notes, at 4."
67,"These illegal leaks, like Comey's, must stop!""643 Approximately one hour later, the President tweeted, ""So many people are asking why isn't the A.G. or Special Council looking at the many Hillary Clinton or Comey crimes. 33,000 e-mails deleted?644 Later that morning, while aboard Marine One on the way to Norfolk, Virginia, the President told Priebus that he had to get Sessions to resign immediately.645 The President said that the country had lost confidence in Sessions and the negative publicity was not tolerable.646 According to contemporaneous notes taken by Priebus, the President told Priebus to say that he ""need[ed] a letter of resignation on [his] desk immediately""","and that Sessions had no choice"" but ""must immediately resign.647 Priebus replied that if they fired Sessions, they would never get a new Attorney General confirmed and that the Department of Justice and Congress would turn their backs on the President, but the President suggested he could make a recess appointment to replace Sessions.648 Priebus believed that the President's request was a problem, so he called McGahn and asked for advice, explaining that he did not want to pull the trigger on something that was all wrong.""649 Although the President tied his desire for Sessions to resign to Sessions's negative press and poor performance in congressional testimony, Priebus believed that the President's desire to replace Sessions was driven by the President's hatred of Sessions's recusal from the Russia investigation.650 McGahn told Priebus not to follow the President's order and said they should consult their personal counsel, with w [Harm to Ongoing Matter] they had attorney-client privilege.651 McGahn 642 Hunt 2/1/18 302, at 23-24; Hunt 7/21/17 Notes, at 1-2."
68,"Footnote: 684. Hicks 12/7/17 302, at 8.","Later that day, Hicks, Kushner, and Ivanka Trump went together to talk to the President.685 Hicks recalled that Kushner told the President the June 9 meeting was not a big deal and was about Russian adoption, but that emails existed setting up the meeting. 686 Hicks said she wanted to get in front of the story and have Trump Jr. release the emails as part of an interview with ""softball questions.9687 The President said he did not want to know about it and they should not go to the press.688 Hicks warned the President that the emails were ""really bad"" and the story would be ""massive"" when it broke, but the President was insistent that he did not want to talk about it and said he did not want details.689 Hicks recalled that the President asked Kushner when his document production was due.690 Kushner responded that it would be a couple of weeks and the President said, ""then leave it alone.691 Hicks also recalled that the President said Kushner's attorney should give the emails to w [Harm to Ongoing Matter] ever he needed to give them to, but the President did not think they would be leaked to the press.692 Raffel later heard from Hicks that the President had directed the group not to be proactive in disclosing the emails because the President believed they would not leak.693 3. The President Directs Trump Jr.'s Response to Press Inquiries About the June 9 Meeting The following week, the President departed on an overseas trip for the G20 summit in Hamburg, Germany, accompanied by Hicks, Raffel, Kushner, and Ivanka Trump, among others.694 On July 7, 2017, while the President was overseas, Hicks and Raffel learned that the New York Times was working on a story about the June 9 meeting.695 The next day, Hicks told the President about the story and he directed her not to comment.696 Hicks thought the President's reaction was odd because he usually considered not responding to the press to be the ultimate sin.997 Later that day, Hicks and the President again spoke about the story.698 Hicks recalled that the President asked 685 Hicks 12/7/17 302, at 8; Hicks 3/13/18 302, at 2."
69,"Footnote: 698. Hicks 3/13/18 302, at 3.","her what the meeting had been about, and she said that she had been told the meeting was about Russian adoption.699 The President responded, ""then just say that.""700 On the flight [Harm to Ongoing Matter] e from the G20 on July 8, 2017, Hicks obtained a draft statement about the meeting to be released by Trump Jr. and brought it to the President.701 The draft statement began with a reference to the information that was offered by the Russians in setting up the meeting: ""I was asked to have a meeting by an acquaintance I knew from the 2013 Miss Universe pageant with an individual who I was told might have information helpful to the campaign.""702 Hicks again wanted to disclose the entire story, but the President directed that the statement not be issued because it said too much.703 The President told Hicks to say only that Trump Jr. took a brief meeting and it was about Russian adoption.704 After speaking with the President, Hicks texted Trump Jr. a revised statement on the June 9 meeting that read: It was a short meeting. I asked Jared and Paul to stop by. We discussed a program about the adoption of Russian children that was active and popular with American families years ago and was since ended by the Russian government, but it was not a campaign issue at that time and there was no follow up.705 Hicks's text concluded, ""Are you ok with this? Attributed to you.""706 Trump Jr. responded by text message that he wanted to add the word ""primarily"" before ""discussed"" so that the statement would read, ""We primarily discussed a program about the adoption of Russian children.""707 Trump Jr. texted that he wanted the change because ""[t] hey started with some Hillary thing which was bs and some other nonsense which we shot down fast.""708 Hicks texted back, ""I think that's right too but boss man worried it invites a lot of questions[.] [U] ltimately [d] efer to you and [your attorney] on that word Bc I know it's important and I think the mention of a campaign issue adds something to it in case we have to go further.""709 Trump Jr. responded, ""If I don't have it in there it appears as though I'm lying later when they inevitably leak something.""710 Trump Jr.'s statement -- adding 699 Hicks 3/13/18 302, at 3; Hicks 12/7/17 302, at 10."
70,"the word ""primarily"" and making other minor additions -- was then provided to the New York Times. 711 The full statement provided to the Times stated: It was a short introductory meeting. I asked Jared and Paul to stop by. We primarily discussed a program about the adoption of Russian children that was active and popular with American families years ago and was since ended by the Russian government, but it was not a campaign issue at the time and there was no follow up. I was asked to attend the meeting by an acquaintance, but was not told the name of the person I would be meeting with beforehand.712 The statement did not mention the offer of derogatory information about Clinton or any discussion of the Magnitsky Act or U.S. sanctions, which were the principal subjects of the meeting, as described in Volume I, Section IV.A.5, supra.","A short while later, while still on Air Force One, Hicks learned that Priebus knew about the emails, which further convinced her that additional information about the June 9 meeting would leak and the White House should be proactive and get in front of the story.713 Hicks recalled again going to the President to urge him that they should be fully transparent about the June 9 meeting, but he again said no, telling Hicks, ""You've given a statement. We're done."":714 Later on the flight [Harm to Ongoing Matter] e, Hicks went to the President's cabin, where the President was on the phone with one of his personal attorneys.75 At one point the President handed the phone to Hicks, and the attorney told Hicks that he had been working with Circa News on a separate story, and that she should not talk to the New York Times.716 4. The Media Reports on the June 9, 2016 Meeting Before the President's flight [Harm to Ongoing Matter] e from the G20 landed, the New York Times published its story about the June 9, 2016 meeting.717 In addition to the statement from Trump Jr., the Times story also quoted a statement from Corallo on behalf of the President's legal team suggesting that the meeting might have been a setup by individuals working with the firm that produced the Steele reporting.718 Corallo also worked with Circa News on a story published an hour later that 711 Hicks 3/13/18 302, at 6; see Jo Becker et al., Trump Team Met With Lawyer Linked to Kremlin During Campaign, New York Times (July 8, 2017)."
71,"On May 17, 2017, the President's campaign received a document request from SSCI that clearly covered the June 9 meeting and underlying emails, and those documents also plainly would have been relevant to the Special Counsel's investigation.","But the evidence does not establish that the President took steps to prevent the emails or other information about the June 9 meeting from being provided to Congress or the Special Counsel. The series of discussions in which the President sought to limit access to the emails and prevent their public release occurred in the context of developing a press strategy. The only evidence we have of the President discussing the production of documents to Congress or the Special Counsel is the conversation on June 29, 2017, when Hicks recalled the President acknowledging that Kushner's attorney should provide emails related to the June 9 meeting to w [Harm to Ongoing Matter] ever he needed to give them to. We do not have evidence of what the President discussed with his own lawyers at that time. b. Nexus to an official proceeding. As described above, by the time of the President's attempts to prevent the public release of the emails regarding the June 9 meeting, the existence of a grand jury investigation supervised by the Special Counsel was public knowledge, and the President had been told that the emails were responsive to congressional inquiries. To satisfy the nexus requirement, however, it would be necessary to show that preventing the release of the emails to the public would have the natural and probable effect of impeding the grand jury proceeding or congressional inquiries. As noted above, the evidence does not establish that the President sought to prevent disclosure of the emails in those official proceedings. c. Intent. The evidence establishes the President's substantial involvement in the communications strategy related to information about his campaign's connections to Russia and his desire to minimize public disclosures about those connections. The President became aware of the emails no later than June 29, 2017, when he discussed them with Hicks and Kushner, and he could have been aware of them as early as June 2, 2017, when lawyers for the Trump Organization began interviewing witnesses who participated in the June 9 meeting. The President thereafter repeatedly rejected the advice of Hicks and other staffers to publicly release information about the June 9 meeting. The President expressed concern that multiple people had access to the emails and instructed Hicks that only one lawyer should deal with the matter. And the President 106"
72,"The President's Further Efforts to Have the Attorney General Take Over the Investigation Overview From summer 2017 through 2018, the President attempted to have Attorney General Sessions reverse his recusal, take control of the Special Counsel's investigation, and order an investigation of Hillary Clinton.","Evidence 1. The President Again Seeks to Have Sessions Reverse his Recusal After returning Sessions's resignation letter at the end of May 2017, but before the President's July 19, 2017 New York Times interview in which he publicly criticized Sessions for recusing from the Russia investigation, the President took additional steps to have Sessions reverse his recusal. In particular, at some point after the May 17, 2017 appointment of the Special Counsel, Sessions recalled, the President called him at [Harm to Ongoing Matter] e and asked if Sessions would ""unrecuse"""
73,"Several facts support that conclusion. The President made repeated attempts to get McGahn to change his story. As described above, by the time of the last attempt, the evidence suggests that the President had been told on multiple occasions that McGahn believed the President had ordered him to have the Special Counsel terminated. McGahn interpreted his encounter with the President in the Oval Office as an attempt to test his mettle and see how committed he was to his memory of what had occurred. The President had already laid the groundwork for pressing McGahn to alter his account by telling Porter that it might be necessary to fire McGahn if he did not deny the story, and Porter relayed that statement to McGahn. Additional evidence of the President's intent may be gleaned from the fact that his counsel was sufficiently alarmed by the prospect of the President's meeting with McGahn that he called McGahn's counsel and said that McGahn could not resign no matter what happened in the Oval Office that day. The President's counsel was well aware of McGahn's resolve not to issue what he believed to be a false account of events despite the President's request. Finally, as noted above, the President brought up the Special Counsel investigation in his Oval Office meeting with McGahn and criticized him for telling this Office about the June 17, 2017 events. The President's statements reflect his understanding -- and his displeasure -- that those events would be part of an obstruction-of-justice inquiry.","The President's Conduct Towards Flynn, Manafort, [Harm to Ongoing Matter] Overview In addition to the interactions with McGahn described above, the President has taken other actions directed at possible witnesses in the Special Counsel's investigation, including Flynn, Manafort, [Harm to Ongoing Matter] and as described in the next section, Cohen. When Flynn withdrew from a joint defense agreement with the President, the President's personal counsel stated that Flynn's actions would be viewed as reflecting ""hostility"" towards the President. During Manafort's prosecution and while the jury was deliberating, the President repeatedly stated that Manafort was being treated unfairly and made it known that Manafort could receive a pardon. [Harm to Ongoing Matter] Evidence 1. Conduct Directed at Michael Flynn As previously noted, see Volume II, Section II.B, supra, the President asked for Flynn's resignation on February 13, 2017. Following Flynn's resignation, the President made positive public comments about Flynn, describing him as a ""wonderful man,"" ""a fine person,"" and a ""very 120"
74,"At that time, Giuliani had recently suggested to reporters that the Special Counsel investigation needed to be ""done in the next two or three weeks,""868 and media stories reported that a Manafort acquittal would add to criticism that the Special Counsel investigation was not worth the time and expense, whereas a conviction could show that ending the investigation would be premature. 869 861 State of the Union with Jake Tapper Transcript, CNN (June 17, 2018).","Footnote: 862. See, e.g., Katelyn Polantz, Takeaways from day one of the Paul Manafort trial, CNN (July 31, 2018); Frank Bruni, Paul Manafort's Trial Is Donald Trump's, Too, New York Times Opinion (July 31, 2018); Rachel Weiner et al., Paul Manafort trial Day 2: Witnesses describe extravagant clothing purchases, [Harm to Ongoing Matter] e remodels, lavish cars paid with wire transfers, Washington Post (Aug. 1, 2018)."
75,"Footnote: 886. Joint Status Report, United States v. Paul J. Manafort, Jr., (D.D.C Nov. 26, 2018), Doc. 455.","Manafort. 9887 In an interview on November 28, 2018, the President suggested that it was ""very brave"" that Manafort did not ""flip"": If you told the truth, you go to jail. You know this flipping stuff is terrible. You flip and you lie and you get -- the prosecutors will tell you 99 percent of the time they can get people to flip. It's rare that they can't. But I had three people: Manafort, Corsi -- I don't know Corsi, but he refuses to say what they demanded.888 Manafort, Corsi [Harm to Ongoing Matter] It's actually very brave.889 In response to a question about a potential pardon for Manafort, the President said, ""It was never discussed, but I wouldn't take it off the table. Why would I take it off the table?890 3. [Harm to Ongoing Matter] [Harm to Ongoing Matter] 891 [Harm to Ongoing Matter] 992 [Harm to Ongoing Matter] [Harm to Ongoing Matter] 894 [Harm to Ongoing Matter] 887 Stephen Collinson, Trump appears consumed by Mueller investigation as details emerge, CNN (Nov. 29, 2018)."
76,"are presumed to follow those instructions, the President's statements during the trial generated substantial media coverage that could have reached jurors if they happened to see the statements or learned about them from others. And the President's statements during jury deliberations that Manafort ""happens to be a very good person"" and that ""it's very sad what they've done to Paul Manafort"" had the potential to influence jurors who learned of the statements, which the President made just as jurors were considering whether to convict or acquit Manafort.","[Harm to Ongoing Matter] b. Nexus to an official proceeding. The President's actions towards Flynn, Manafort, [Harm to Ongoing Matter] appear to have been connected to pending or anticipated official proceedings involving each individual. The President's conduct towards Flynn [Harm to Ongoing Matter] principally occurred when both were under criminal investigation by the Special Counsel's Office and press reports speculated about whether they would cooperate with the Special Counsel's investigation. And the President's conduct towards Manafort was directly connected to the official proceedings involving him. The President made statements about Manafort and the charges against him during Manafort's criminal trial. And the President's comments about the prospect of Manafort ""flipping"" occurred when it was clear the Special Counsel continued to oversee grand jury proceedings. c. Intent. Evidence concerning the President's intent related to Flynn as a potential witness is inconclusive. As previously noted, because of privilege issues we do not have evidence establishing whether the President knew about or was involved in his counsel's communications with Flynn's counsel stating that Flynn's decision to withdraw from the joint defense agreement and cooperate with the government would be viewed as reflecting ""hostility"" towards the President. And regardless of what the President's personal counsel communicated, the President continued to express sympathy for Flynn after he pleaded guilty pursuant to a cooperation agreement, stating that Flynn had ""led a very strong life"" and the President ""fe[lt] very badly"""
77,K.,"The President's Conduct Involving Michael Cohen Overview The President's conduct involving Michael Cohen spans the full period of our investigation. During the campaign, Cohen pursued the Trump Tower Moscow project on behalf of the Trump Organization. Cohen briefed candidate Trump on the project numerous times, including discussing whether Trump should travel to Russia to advance the deal. After the media began questioning Trump's connections to Russia, Cohen promoted a ""party line"" that publicly distanced Trump from Russia and asserted he had no business there. Cohen continued to adhere to that party line in 2017, when Congress asked him to provide documents and testimony in its Russia investigation. In an attempt to minimize the President's connections to Russia, Cohen submitted a letter to Congress falsely stating that he only briefed Trump on the Trump Tower Moscow project three times, that he did not consider asking Trump to travel to Russia, that Cohen had not received a response to an outreach he made to the Russian government, and that the project ended in January 2016, before the first Republican caucus or primary. While working on the congressional statement, Cohen had extensive discussions with the President's personal counsel, who, according to Cohen, said that Cohen should not contradict the President and should keep the statement short and ""tight."" After the FBI searched Cohen's [Harm to Ongoing Matter] e and office in April 2018, the President publicly asserted that Cohen would not ""flip"" and privately passed messages of support to him. Cohen also discussed pardons with the President's personal counsel and believed that if he stayed on message, he would get a pardon or the President would do ""something else"" to make the investigation end. But after Cohen began cooperating with the government in July 2018, the President publicly criticized him, called him a ""rat,"" and suggested his family members had committed crimes."
78,"with the President before he ran for office. 1007 This Office did not investigate Cohen's campaign-period payments to women.1008 However, those events, as described here, are potentially relevant to the President's and his personal counsel's interactions with Cohen as a witness who later began to cooperate with the government.","On February 13, 2018, Cohen released a statement to news organizations that stated, ""In a private transaction in 2016, I used my own personal funds to facilitate a payment of $130,000 to [the woman). Neither the Trump Organization nor the Trump campaign was a party to the transaction with [the woman), and neither reimbursed me for the payment, either directly or indirectly.""1009 In congressional testimony on February 27, 2019, Cohen testified that he had discussed what to say about the payment with the President and that the President had directed Cohen to say that the President ""was not knowledgeable... of [Cohen's] actions"" in making the payment.1010 On February 19, 2018, the day after the New York Times wrote a detailed story attributing the payment to Cohen and describing Cohen as the President's ""fixer,"" Cohen received a text message from the President's personal counsel that stated, ""Client says thanks for what you do.""1011 On April 9, 2018, FBI agents working with the U.S. Attorney's Office for the Southern District of New York executed search warrants on Cohen's [Harm to Ongoing Matter] e, hotel room, and office.1012 That day, the President spoke to reporters and said that he had just heard that they broke into the office of one of my personal attorneys -- a good man.""1013 The President called the searches ""a real disgrace"" and said, ""It's an attack on our country, in a true sense. It's an attack on what we all 1007 See, e.g., Michael Rothfeld & Joe Palazzolo, Trump Lawyer Arranged $130,000 Payment for Adult-Film Star's Silence, Wall Street Journal (Jan. 12, 2018)."
79,"if it means lying or making up stories. Sorry, I don't see Michael doing that despite the horrible Witch Hunt and the dishonest media!1025 In an email that day to Cohen, Costello wrote that he had spoken with Giuliani.1026 Costello told Cohen the conversation was ""Very Very Positive [.] You are 'loved'... they are in our corner....","Sleep well tonight[] , you have friends in high places.""1027 Cohen said that following these messages he believed he had the support of the White House if he continued to toe the party line, and he determined to stay on message and be part of the team.1028 At the time, Cohen's understood that his legal fees were still being paid by the Trump Organization, which he said was important to him.1029 Cohen believed he needed the power of the President to take care of him, so he needed to defend the President and stay on message. 1030 Cohen also recalled speaking with the President's personal counsel about pardons after the searches of his [Harm to Ongoing Matter] e and office had occurred, at a time when the media had reported that pardon discussions were occurring at the White House.1031 Cohen told the President's personal counsel he had been a loyal lawyer and servant, and he said that after the searches he was in an uncomfortable position and wanted to know what was in it for him.1032 According to Cohen, the President's personal counsel responded that Cohen should stay on message, that the investigation was a witch hunt, and that everything would be fine. 1033 Cohen understood based on this conversation and previous conversations about pardons with the President's personal counsel that as long as he stayed on message, he would be taken care of by the President, either through a pardon or through the investigation being shut down. 1034 1025 @realDonald Trump 4/21/18 (9:10 a.m. ET) Tweets."
80,"Footnote: 1056. President Trump Departure Remarks, C-SPAN (Nov. 29, 2018).","the decision. 1057 The Office also again asked for the timing of the President's discussions with Cohen about Trump Tower Moscow and asked him to specify ""what period of the campaign"" he was involved in discussions concerning the project.1058 In response, the President's personal counsel declined to provide additional information from the President and stated that ""the President has fully answered the questions at issue.""1059 In the weeks following Cohen's plea and agreement to provide assistance to this Office, the President repeatedly implied that Cohen's family members were guilty of crimes. On December 3, 2018, after Cohen had filed his sentencing memorandum, the President tweeted, ""Michael Cohen asks judge for no Prison Time.' You mean he can do all of the TERRIBLE, unrelated to Trump, things having to do with fraud, big loans, Taxis, etc., and not serve a long prison term? He makes up stories to get a GREAT & ALREADY reduced deal for himself, and get his wife and father-in-law (who has the money?) off Scott Free. He lied for this outcome and should, in my opinion, serve a full and complete sentence.991060 [Harm to Ongoing Matter] TUOT On December 12, 2018, Cohen was sentenced to three years of imprisonment. 1062 The next day, the President sent a series of tweets that said: I never directed Michael Cohen to break the law.... Those charges were just agreed to by him in order to embarrass the president and get a much reduced prison sentence, which he did -- including the fact that his family was temporarily let off the hook. As a lawyer, Michael has great liability to me!1063 On December 16, 2018, the President tweeted, ""Remember, Michael Cohen only became a 'Rat after the FBI did something which was absolutely unthinkable & unheard of until the Witch Hunt was illegally started. They BROKE INTO AN ATTORNEY'S OFFICE! Why didn't they break into the DNC to get the Server, or Crooked's office?"":1064 In January 2019, after the media reported that Cohen would provide public testimony in a congressional hearing, the President made additional public comments suggesting that Cohen's 1037 1/23/19 Letter, Special Counsel's Office to President's Personal Counsel."
